I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,gene,sample
0.5861021337512095,0.0,0.0009397528,0.0,0.001,0.0009592796205037511,0.0,0.0,0.0011304347826086958,MS4A1,HCC22-088-P1-S1
0.47615106220386494,0.0,0.0009397528,0.0,0.001,0.0008343112491790689,0.0,0.0,0.0011304347826086958,CR2,HCC22-088-P1-S1
0.45686666168908074,0.0,0.0009397528,0.0,0.001,0.0007927917990844374,0.0,0.0,0.0011304347826086958,CXCR5,HCC22-088-P1-S1
0.40486645965372914,0.0,0.0009397528,0.0,0.001,0.0008515461878653905,0.0,0.0,0.0011304347826086958,EPCAM,HCC22-088-P1-S1
0.3892397220557091,0.0,0.0009397528,0.0,0.001,0.0008503149161912385,0.0,0.0,0.0011304347826086958,CD14,HCC22-088-P1-S1
0.38234036092952944,0.0,0.0009397528,0.0,0.001,0.0007773620649663232,0.0,0.0,0.0011304347826086958,CD27,HCC22-088-P1-S1
0.3568937217811113,0.0,0.0009397528,0.0,0.001,0.0008609970362893474,0.0,0.0,0.0011304347826086958,ITGAX,HCC22-088-P1-S1
0.34507372662836744,0.0,0.0009397528,0.0,0.001,0.0007787473798829896,0.0,0.0,0.0011304347826086958,CD4,HCC22-088-P1-S1
0.32991846661355184,0.0,0.0009397528,0.0,0.001,0.0007904290093108717,0.0,0.0,0.0011304347826086958,VIM,HCC22-088-P1-S1
0.3163976926548164,0.0,0.0009397528,0.0,0.001,0.0007993333099816284,0.0,0.0,0.0011304347826086958,PECAM1,HCC22-088-P1-S1
0.3070097451812492,0.0,0.0009397528,0.0,0.001,0.000729740613119837,0.0,0.0,0.0011304347826086958,CD3E,HCC22-088-P1-S1
0.29641734427399785,0.0,0.0009397528,0.0,0.001,0.0008177375848466838,0.0,0.0,0.0011304347826086958,CD8A,HCC22-088-P1-S1
0.2888040406943103,0.0,0.0009397528,0.0,0.001,0.0007012981526279003,0.0,0.0,0.0011304347826086958,CD19,HCC22-088-P1-S1
0.2587582713417815,0.0,0.0009397528,0.0,0.001,0.0007037822298574367,0.0,0.0,0.0011304347826086958,CD163,HCC22-088-P1-S1
0.2514957783160909,1.1102230246251565e-16,0.0009397528,0.0,0.001,0.0006836581426106561,1.924386576016938e-16,0.0,0.0011304347826086958,CCR7,HCC22-088-P1-S1
