,Tumour,Immune,Stroma,Mixed
Tumour,44.470433624816735,-9.55714741288607,-35.591340771781766,-32.61791628044889
Immune,-9.55714741288607,29.029992201276247,-20.642809718791533,-1.6624190620685537
Stroma,-35.591340771781766,-20.642809718791533,27.551674917252658,-21.888421154657504
Mixed,-32.61791628044889,-1.6624190620685537,-21.888421154657504,32.890817911444685
