I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,protein,sample,feature
0.12887354442560653,1.0539402189202463e-05,0.0009397528,1.9343317181341746e-07,0.005,0.0006370086067187006,1.0849384606531946e-05,1.991223827491062e-07,0.005,FCGR3A-1,HCC22-088-P1-S1,FCGR3A
0.07621717983260973,0.005615005453854072,0.0009397528,0.0005947517915101397,0.005,0.0005478380773350039,0.005615005453854072,0.0005947517915101397,0.005,mouse_IgG2bk,HCC22-088-P1-S1,mouse_IgG2bk
0.8483676725780097,0.0,0.000106633386,0.0,0.005,0.0001582559792028177,0.0,0.0,0.005,VIM-1,HCC22-088-P1-S2,VIM
0.8376132833699794,0.0,0.000106633386,0.0,0.005,0.00015423876688065485,0.0,0.0,0.005,ACTA2-1,HCC22-088-P1-S2,ACTA2
0.8253505447902728,0.0,0.000106633386,0.0,0.005,0.000145466935867609,0.0,0.0,0.005,HLA-DRA,HCC22-088-P1-S2,HLA
0.8122783046329248,0.0,0.000106633386,0.0,0.005,0.0001594331586872041,0.0,0.0,0.005,SDC1-1,HCC22-088-P1-S2,SDC1
0.7519883166130475,0.0,0.000106633386,0.0,0.005,0.000152847288215232,0.0,0.0,0.005,EPCAM-1,HCC22-088-P1-S2,EPCAM
0.748999680706454,0.0,0.000106633386,0.0,0.005,0.00017282562575086414,0.0,0.0,0.005,BCL2-1,HCC22-088-P1-S2,BCL2
0.7171520180867107,0.0,0.000106633386,0.0,0.005,0.0001597755811998356,0.0,0.0,0.005,PCNA-1,HCC22-088-P1-S2,PCNA
0.6402983613333455,0.0,0.000106633386,0.0,0.005,0.00014911137702048975,0.0,0.0,0.005,CD68-1,HCC22-088-P1-S2,CD68
0.6223622665511843,0.0,0.000106633386,0.0,0.005,0.00012302844336565836,0.0,0.0,0.005,CD4-1,HCC22-088-P1-S2,CD4
0.6217845718027823,0.0,0.000106633386,0.0,0.005,0.00012356861001477622,0.0,0.0,0.005,CR2-1,HCC22-088-P1-S2,CR2
0.612770169490755,0.0,0.000106633386,0.0,0.005,0.00016581357310122756,0.0,0.0,0.005,CD19-1,HCC22-088-P1-S2,CD19
0.5890149156248995,0.0,0.000106633386,0.0,0.005,0.0001420074889823232,0.0,0.0,0.005,ITGAX-1,HCC22-088-P1-S2,ITGAX
0.5595594338004638,0.0,0.000106633386,0.0,0.005,0.00012365309780269516,0.0,0.0,0.005,ITGAM-1,HCC22-088-P1-S2,ITGAM
0.5421899111159832,0.0,0.000106633386,0.0,0.005,0.00013683116967126786,0.0,0.0,0.005,CD40-1,HCC22-088-P1-S2,CD40
0.4953297757404294,0.0,0.000106633386,0.0,0.005,0.00011945378642925253,0.0,0.0,0.005,CCR7-1,HCC22-088-P1-S2,CCR7
0.4909141728806691,0.0,0.000106633386,0.0,0.005,0.000130352235853663,0.0,0.0,0.005,PDCD1-1,HCC22-088-P1-S2,PDCD1
0.45856842042823465,0.0,0.000106633386,0.0,0.005,0.00010711626562034139,0.0,0.0,0.005,PTPRC-2,HCC22-088-P1-S2,PTPRC
0.453242239645471,0.0,0.000106633386,0.0,0.005,9.587205320613675e-05,0.0,0.0,0.005,CD163-1,HCC22-088-P1-S2,CD163
0.4482057714342135,0.0,0.000106633386,0.0,0.005,0.00010565941462567846,0.0,0.0,0.005,CD14-1,HCC22-088-P1-S2,CD14
0.4303682453863557,0.0,0.000106633386,0.0,0.005,9.31557098885848e-05,0.0,0.0,0.005,CD27-1,HCC22-088-P1-S2,CD27
0.40832455859337186,0.0,0.000106633386,0.0,0.005,0.00010583456485657849,0.0,0.0,0.005,rat_IgG2a,HCC22-088-P1-S2,rat_IgG2a
0.3923071666116552,0.0,0.000106633386,0.0,0.005,0.000123256631610149,0.0,0.0,0.005,PTPRC-1,HCC22-088-P1-S2,PTPRC
0.37498067448392863,0.0,0.000106633386,0.0,0.005,0.00010581925398326377,0.0,0.0,0.005,CD3E-1,HCC22-088-P1-S2,CD3E
0.3302646171437634,0.0,0.000106633386,0.0,0.005,8.921019291870198e-05,0.0,0.0,0.005,PECAM1-1,HCC22-088-P1-S2,PECAM1
0.32750976275305455,0.0,0.000106633386,0.0,0.005,9.234204594917236e-05,0.0,0.0,0.005,MS4A1-1,HCC22-088-P1-S2,MS4A1
0.3236858422086246,0.0,0.000106633386,0.0,0.005,9.977195358465246e-05,0.0,0.0,0.005,CXCR5-1,HCC22-088-P1-S2,CXCR5
0.32203718017748506,0.0,0.000106633386,0.0,0.005,0.00010261017324527233,0.0,0.0,0.005,mouse_IgG1k,HCC22-088-P1-S2,mouse_IgG1k
0.2976379886049192,0.0,0.000106633386,0.0,0.005,8.657059785857232e-05,0.0,0.0,0.005,mouse_IgG2a,HCC22-088-P1-S2,mouse_IgG2a
0.2872768453531736,0.0,0.000106633386,0.0,0.005,8.97209923942408e-05,0.0,0.0,0.005,CD8A-1,HCC22-088-P1-S2,CD8A
0.2812969363070931,0.0,0.000106633386,0.0,0.005,9.726551935270095e-05,0.0,0.0,0.005,KRT5-1,HCC22-088-P1-S2,KRT5
0.2480066468050705,0.0,0.000106633386,0.0,0.005,8.887520193358611e-05,0.0,0.0,0.005,CD274-1,HCC22-088-P1-S2,CD274
0.18425501691316015,0.0,0.000106633386,0.0,0.005,6.353176537251959e-05,0.0,0.0,0.005,FCGR3A-1,HCC22-088-P1-S2,FCGR3A
0.1750097495052153,0.0,0.000106633386,0.0,0.005,7.919948705764674e-05,0.0,0.0,0.005,PAX5-1,HCC22-088-P1-S2,PAX5
0.17192505833774724,0.0,0.000106633386,0.0,0.005,7.932993761547564e-05,0.0,0.0,0.005,CEACAM8-1,HCC22-088-P1-S2,CEACAM8
0.1285684001256528,0.0,0.000106633386,0.0,0.005,7.266682852152635e-05,0.0,0.0,0.005,mouse_IgG2bk,HCC22-088-P1-S2,mouse_IgG2bk
0.8164737956130259,0.0,0.00027415456,0.0,0.005,0.00036970266229276216,0.0,0.0,0.005,KRT5-1,HCC22-088-P2-S1,KRT5
0.6845562896065784,0.0,0.00027415456,0.0,0.005,0.0003495728160644746,0.0,0.0,0.005,CD19-1,HCC22-088-P2-S1,CD19
0.6621277193862443,0.0,0.00027415456,0.0,0.005,0.0003081909580909307,0.0,0.0,0.005,ACTA2-1,HCC22-088-P2-S1,ACTA2
0.6414356188863696,0.0,0.00027415456,0.0,0.005,0.0003284290573494264,0.0,0.0,0.005,HLA-DRA,HCC22-088-P2-S1,HLA
0.6371812722084825,0.0,0.00027415456,0.0,0.005,0.000353370767503286,0.0,0.0,0.005,VIM-1,HCC22-088-P2-S1,VIM
0.6273473540055894,0.0,0.00027415456,0.0,0.005,0.00032406094555674546,0.0,0.0,0.005,CD68-1,HCC22-088-P2-S1,CD68
0.594033770535864,0.0,0.00027415456,0.0,0.005,0.0003491852792153841,0.0,0.0,0.005,ITGAX-1,HCC22-088-P2-S1,ITGAX
0.5924771728576108,0.0,0.00027415456,0.0,0.005,0.00033664455968521585,0.0,0.0,0.005,CD14-1,HCC22-088-P2-S1,CD14
0.5705008253280889,0.0,0.00027415456,0.0,0.005,0.0002730756989268559,0.0,0.0,0.005,BCL2-1,HCC22-088-P2-S1,BCL2
0.5187728164364382,0.0,0.00027415456,0.0,0.005,0.00032178407091319424,0.0,0.0,0.005,SDC1-1,HCC22-088-P2-S1,SDC1
0.4736622995723366,0.0,0.00027415456,0.0,0.005,0.0002371348820906592,0.0,0.0,0.005,ITGAM-1,HCC22-088-P2-S1,ITGAM
0.44408106712945977,0.0,0.00027415456,0.0,0.005,0.0002515909011371056,0.0,0.0,0.005,CD163-1,HCC22-088-P2-S1,CD163
