sample,patient,treatment,program,moranI
HCC22-088-P3-S2,P3,post,rna_T_cells,0.13138366942623725
HCC22-088-P3-S2,P3,post,score_Cytotoxicity,0.10916039034059617
HCC22-088-P3-S2,P3,post,score_Angiogenesis,0.1069292641860382
HCC22-088-P3-S2,P3,post,score_Hypoxia,0.06462794956240105
HCC22-088-P3-S2,P3,post,score_Proliferation,0.005993411246077331
HCC22-088-P4-S1,P4,pre,rna_epithelial_tumour,0.28441444089663687
HCC22-088-P4-S1,P4,pre,score_Fibroblast_activation,0.24898738953330712
HCC22-088-P4-S1,P4,pre,score_EMT,0.20827837403351243
HCC22-088-P4-S1,P4,pre,score_Estrogen_response,0.18391469230273558
HCC22-088-P4-S1,P4,pre,rna_T_cells,0.1664111663959343
HCC22-088-P4-S1,P4,pre,score_Interferon_response,0.1645057539926437
HCC22-088-P4-S1,P4,pre,score_Myeloid_inflammation,0.14578690555882592
HCC22-088-P4-S1,P4,pre,score_B_cell_activity,0.1399354369775806
HCC22-088-P4-S1,P4,pre,score_T_cell_activity,0.07749723680879257
HCC22-088-P4-S1,P4,pre,score_Proliferation,0.044772174688056304
HCC22-088-P4-S1,P4,pre,score_Hypoxia,0.03821204816173756
HCC22-088-P4-S1,P4,pre,score_Cytotoxicity,0.03081273716047932
HCC22-088-P4-S1,P4,pre,score_Angiogenesis,-0.025363613606218593
HCC22-088-P4-S2,P4,post,rna_epithelial_tumour,0.668067130590722
HCC22-088-P4-S2,P4,post,score_Fibroblast_activation,0.5983735981772167
HCC22-088-P4-S2,P4,post,score_Estrogen_response,0.584820654206858
HCC22-088-P4-S2,P4,post,score_EMT,0.5360438127929739
HCC22-088-P4-S2,P4,post,score_Interferon_response,0.3499266265981147
HCC22-088-P4-S2,P4,post,score_Myeloid_inflammation,0.29908025793534254
HCC22-088-P4-S2,P4,post,score_B_cell_activity,0.26167273388195084
HCC22-088-P4-S2,P4,post,score_Cytotoxicity,0.11115388799398576
HCC22-088-P4-S2,P4,post,score_Angiogenesis,0.10486458263123873
HCC22-088-P4-S2,P4,post,score_T_cell_activity,0.10385150168178665
HCC22-088-P4-S2,P4,post,score_Proliferation,0.09074646244647425
HCC22-088-P4-S2,P4,post,rna_T_cells,0.061263215568697564
HCC22-088-P4-S2,P4,post,score_Hypoxia,0.03938691808554501
HCC22-088-P5-S1,P5,pre,score_Estrogen_response,0.5105624349785238
HCC22-088-P5-S1,P5,pre,score_Fibroblast_activation,0.4701059613472146
HCC22-088-P5-S1,P5,pre,rna_epithelial_tumour,0.44941862234891117
HCC22-088-P5-S1,P5,pre,score_EMT,0.4224378560659474
HCC22-088-P5-S1,P5,pre,score_B_cell_activity,0.3983197907565818
HCC22-088-P5-S1,P5,pre,score_Myeloid_inflammation,0.29081297627115715
HCC22-088-P5-S1,P5,pre,score_Interferon_response,0.07266027088924269
HCC22-088-P5-S1,P5,pre,score_Angiogenesis,0.06979548714336467
HCC22-088-P5-S1,P5,pre,score_T_cell_activity,0.02305948030087794
HCC22-088-P5-S1,P5,pre,rna_T_cells,0.00536981298756274
HCC22-088-P5-S1,P5,pre,score_Hypoxia,0.005277368569586579
HCC22-088-P5-S1,P5,pre,score_Cytotoxicity,0.0026539859362258215
HCC22-088-P5-S1,P5,pre,score_Proliferation,-0.01771949720124541
HCC22-088-P5-S2,P5,post,score_Estrogen_response,0.6265521325362722
HCC22-088-P5-S2,P5,post,rna_epithelial_tumour,0.39481321635912286
HCC22-088-P5-S2,P5,post,score_Fibroblast_activation,0.3380045779064142
HCC22-088-P5-S2,P5,post,score_B_cell_activity,0.24886913201211547
HCC22-088-P5-S2,P5,post,score_EMT,0.1597391170308848
HCC22-088-P5-S2,P5,post,score_Angiogenesis,0.09217066959381606
HCC22-088-P5-S2,P5,post,score_Myeloid_inflammation,0.08907074212692769
HCC22-088-P5-S2,P5,post,rna_T_cells,0.037315263798112126
HCC22-088-P5-S2,P5,post,score_Hypoxia,0.03060272334451442
HCC22-088-P5-S2,P5,post,score_Interferon_response,0.01564923985131511
HCC22-088-P5-S2,P5,post,score_Proliferation,0.008807721111730693
HCC22-088-P5-S2,P5,post,score_Cytotoxicity,0.0038367202287437887
HCC22-088-P5-S2,P5,post,score_T_cell_activity,-0.00039796671574032603
