,Immune,Mixed,Stroma,Tumour
Immune,17.465688599916948,-5.041736990032978,-7.327710022478609,-13.036009301058309
Mixed,-5.041736990032978,1.3719232346681403,2.7981060411766814,-3.6660027778617668
Stroma,-7.327710022478609,2.7981060411766814,7.798071426284325,-10.276204654933688
Tumour,-13.036009301058309,-3.6660027778617668,-10.276204654933688,28.57033261632291
