,Immune,Mixed,Tumour
Immune,31.77936277791504,-13.25480086253888,-7.493967698785976
Mixed,-13.25480086253888,51.83187834311176,-61.64211148734401
Tumour,-7.493967698785976,-61.64211148734401,66.21618296192084
