,Immune,Mixed,Stroma
Immune,48.533072793453314,-49.760505452408864,2.4499584686723606
Mixed,-49.760505452408864,53.5818888846782,-37.64332362942664
Stroma,2.4499584686723606,-37.64332362942664,42.92366749351587
