sample,marker,state,hotspot_delta
HCC22-088-P2-S1,CD3E,T_cells,-0.0028592795040717923
HCC22-088-P2-S1,CD3E,B_cells,-0.005697447504870435
HCC22-088-P2-S1,CD3E,myeloid,-0.015246261470970052
HCC22-088-P2-S1,CD3E,fibroblast,-0.050481827268236135
HCC22-088-P2-S1,CD3E,endothelial,-0.003918180262910249
HCC22-088-P2-S1,CD3E,epithelial_tumour,0.09559118725630074
HCC22-088-P2-S2,CD3E,T_cells,-0.0010837633272670118
HCC22-088-P2-S2,CD3E,B_cells,-0.00917172797891301
HCC22-088-P2-S2,CD3E,myeloid,0.006689039432361696
HCC22-088-P2-S2,CD3E,fibroblast,-0.06446194351818291
HCC22-088-P2-S2,CD3E,endothelial,-0.00112963273068023
HCC22-088-P2-S2,CD3E,epithelial_tumour,0.08380781875838769
HCC22-088-P3-S1_A,CD3E,T_cells,0.007225648584364277
HCC22-088-P3-S1_A,CD3E,B_cells,0.0061006340377482635
HCC22-088-P3-S1_A,CD3E,myeloid,0.06032435006641615
HCC22-088-P3-S1_A,CD3E,fibroblast,-0.08632080468796494
HCC22-088-P3-S1_A,CD3E,endothelial,-0.058557956466363414
HCC22-088-P3-S1_A,CD3E,epithelial_tumour,0.08081279300254085
HCC22-088-P3-S2,CD3E,T_cells,0.0070866898607320795
HCC22-088-P3-S2,CD3E,B_cells,0.00018741227437336916
HCC22-088-P3-S2,CD3E,myeloid,1.1070481393024578e-05
HCC22-088-P3-S2,CD3E,fibroblast,-0.019136924512324405
HCC22-088-P3-S2,CD3E,endothelial,-0.010234033263539492
HCC22-088-P3-S2,CD3E,epithelial_tumour,0.05656801342294435
HCC22-088-P4-S1,CD3E,T_cells,-0.004616690360515326
HCC22-088-P4-S1,CD3E,B_cells,-0.010577230645298176
HCC22-088-P4-S1,CD3E,myeloid,-0.04841978532434977
HCC22-088-P4-S1,CD3E,fibroblast,-0.0108608585560237
HCC22-088-P4-S1,CD3E,endothelial,0.01249017220469591
HCC22-088-P4-S1,CD3E,epithelial_tumour,0.052335659911371187
HCC22-088-P4-S2,CD3E,T_cells,-0.004524692100723687
HCC22-088-P4-S2,CD3E,B_cells,-0.008181123506571563
HCC22-088-P4-S2,CD3E,myeloid,-0.021911486790638784
HCC22-088-P4-S2,CD3E,fibroblast,-0.030359796967660335
HCC22-088-P4-S2,CD3E,endothelial,-0.013660842851454073
HCC22-088-P4-S2,CD3E,epithelial_tumour,0.08846940289120586
HCC22-088-P5-S1,CD3E,T_cells,0.0026858626808125728
HCC22-088-P5-S1,CD3E,B_cells,0.014268697881199971
HCC22-088-P5-S1,CD3E,myeloid,-0.02072888335214585
HCC22-088-P5-S1,CD3E,fibroblast,-0.09204133499257461
HCC22-088-P5-S1,CD3E,endothelial,-0.016479754915831098
HCC22-088-P5-S1,CD3E,epithelial_tumour,0.14996260733118746
HCC22-088-P5-S2,CD3E,T_cells,-0.0015187072142925024
HCC22-088-P5-S2,CD3E,B_cells,0.0036371746729259302
HCC22-088-P5-S2,CD3E,myeloid,0.011443548315385861
HCC22-088-P5-S2,CD3E,fibroblast,-0.07959680105427136
HCC22-088-P5-S2,CD3E,endothelial,-0.0023285512062361027
HCC22-088-P5-S2,CD3E,epithelial_tumour,0.09023797613725847
HCC22-088-P6-S1,CD3E,T_cells,0.0029885034773616736
HCC22-088-P6-S1,CD3E,B_cells,0.0003192481486139903
HCC22-088-P6-S1,CD3E,myeloid,0.03518675086561795
HCC22-088-P6-S1,CD3E,fibroblast,-0.04349465968145938
HCC22-088-P6-S1,CD3E,endothelial,-0.008132177677442634
HCC22-088-P6-S1,CD3E,epithelial_tumour,0.017677789412762865
HCC22-088-P6-S2_D,CD3E,T_cells,0.0032447119929508365
HCC22-088-P6-S2_D,CD3E,B_cells,0.011863219832145434
HCC22-088-P6-S2_D,CD3E,myeloid,0.004046873748105834
HCC22-088-P6-S2_D,CD3E,fibroblast,-0.044461831661707696
HCC22-088-P6-S2_D,CD3E,endothelial,0.0018392954157921831
HCC22-088-P6-S2_D,CD3E,epithelial_tumour,0.0413781237802798
HCC22-088-P1-S1,CD163,T_cells,0.009161852656401539
HCC22-088-P1-S1,CD163,B_cells,0.02683804666964469
HCC22-088-P1-S1,CD163,myeloid,0.043833220137983825
HCC22-088-P1-S1,CD163,fibroblast,-0.09943549948099123
HCC22-088-P1-S1,CD163,endothelial,-0.0017141982294697072
HCC22-088-P1-S1,CD163,epithelial_tumour,0.06549328507373989
HCC22-088-P1-S2,CD163,T_cells,0.0052134364409188675
HCC22-088-P1-S2,CD163,B_cells,0.0010133715854519013
HCC22-088-P1-S2,CD163,myeloid,0.03879033607627019
HCC22-088-P1-S2,CD163,fibroblast,-0.03436396151009902
HCC22-088-P1-S2,CD163,endothelial,0.0069642067503184885
HCC22-088-P1-S2,CD163,epithelial_tumour,-0.0033353723905866495
HCC22-088-P2-S1,CD163,T_cells,-0.0003005168355666027
HCC22-088-P2-S1,CD163,B_cells,-0.002433942453044239
HCC22-088-P2-S1,CD163,myeloid,0.04635410958879792
HCC22-088-P2-S1,CD163,fibroblast,-0.08845367141442206
HCC22-088-P2-S1,CD163,endothelial,-0.0007074809343763366
HCC22-088-P2-S1,CD163,epithelial_tumour,0.06550411022757473
HCC22-088-P2-S2,CD163,T_cells,0.0007865145970459312
HCC22-088-P2-S2,CD163,B_cells,-0.007844567608646498
HCC22-088-P2-S2,CD163,myeloid,0.061182148921754026
HCC22-088-P2-S2,CD163,fibroblast,-0.07792345821114954
HCC22-088-P2-S2,CD163,endothelial,0.003264567555992956
HCC22-088-P2-S2,CD163,epithelial_tumour,0.03180573117439023
HCC22-088-P3-S1_A,CD163,T_cells,0.015901548721858026
HCC22-088-P3-S1_A,CD163,B_cells,0.013452042799028167
HCC22-088-P3-S1_A,CD163,myeloid,0.08413512048405591
HCC22-088-P3-S1_A,CD163,fibroblast,-0.13478214875958167
HCC22-088-P3-S1_A,CD163,endothelial,-0.04112780242171114
HCC22-088-P3-S1_A,CD163,epithelial_tumour,0.07200590371309204
HCC22-088-P3-S2,CD163,T_cells,0.00613972011237187
HCC22-088-P3-S2,CD163,B_cells,-0.0020464112087853203
HCC22-088-P3-S2,CD163,myeloid,0.027884661885708144
HCC22-088-P3-S2,CD163,fibroblast,-0.01643488785059566
HCC22-088-P3-S2,CD163,endothelial,0.0007512929239498478
HCC22-088-P3-S2,CD163,epithelial_tumour,0.011051897477041717
HCC22-088-P4-S1,CD163,T_cells,0.01157005216576091
HCC22-088-P4-S1,CD163,B_cells,0.0015689806283853986
HCC22-088-P4-S1,CD163,myeloid,0.024207504862363685
HCC22-088-P4-S1,CD163,fibroblast,-0.07346323910145125
HCC22-088-P4-S1,CD163,endothelial,0.006636518434683176
HCC22-088-P4-S1,CD163,epithelial_tumour,0.019831450240138035
HCC22-088-P4-S2,CD163,T_cells,0.004833098607550995
HCC22-088-P4-S2,CD163,B_cells,0.004790391760176442
HCC22-088-P4-S2,CD163,myeloid,0.014151746171972762
HCC22-088-P4-S2,CD163,fibroblast,-0.012472955388974527
HCC22-088-P4-S2,CD163,endothelial,-0.002283850735202035
HCC22-088-P4-S2,CD163,epithelial_tumour,-0.0003103286009215611
HCC22-088-P5-S1,CD163,T_cells,0.005566852332512002
HCC22-088-P5-S1,CD163,B_cells,0.001992847062338425
HCC22-088-P5-S1,CD163,myeloid,-0.004798564942626357
HCC22-088-P5-S1,CD163,fibroblast,-0.056352263143520154
HCC22-088-P5-S1,CD163,endothelial,-0.01895951892389021
HCC22-088-P5-S1,CD163,epithelial_tumour,0.1056646221093703
HCC22-088-P5-S2,CD163,T_cells,0.001172066699787211
HCC22-088-P5-S2,CD163,B_cells,0.0010926985143693696
HCC22-088-P5-S2,CD163,myeloid,0.012586379577475708
HCC22-088-P5-S2,CD163,fibroblast,-0.07697228757794827
HCC22-088-P5-S2,CD163,endothelial,-0.004865081982957514
HCC22-088-P5-S2,CD163,epithelial_tumour,0.08737910838676799
HCC22-088-P6-S1,CD163,T_cells,0.004731229272277322
HCC22-088-P6-S1,CD163,B_cells,-0.006706643988743698
HCC22-088-P6-S1,CD163,myeloid,0.007788278169296434
HCC22-088-P6-S1,CD163,fibroblast,-0.02280202418128985
HCC22-088-P6-S1,CD163,endothelial,0.02010087402466644
HCC22-088-P6-S1,CD163,epithelial_tumour,0.0014337412492479579
HCC22-088-P6-S2_D,CD163,T_cells,0.003399042227446814
HCC22-088-P6-S2_D,CD163,B_cells,0.00804001349765084
HCC22-088-P6-S2_D,CD163,myeloid,0.03205148718236525
HCC22-088-P6-S2_D,CD163,fibroblast,-0.03832261478382992
HCC22-088-P6-S2_D,CD163,endothelial,-0.012431260206388392
HCC22-088-P6-S2_D,CD163,epithelial_tumour,0.03188607350758719
HCC22-088-P1-S1,CD14,T_cells,0.02026607083176621
HCC22-088-P1-S1,CD14,B_cells,0.012092900933505457
HCC22-088-P1-S1,CD14,myeloid,0.1136182227721155
HCC22-088-P1-S1,CD14,fibroblast,-0.14056341131442734
HCC22-088-P1-S1,CD14,endothelial,-0.02741216596410706
HCC22-088-P1-S1,CD14,epithelial_tumour,0.07420721808251282
HCC22-088-P1-S2,CD14,T_cells,0.005211653238270119
HCC22-088-P1-S2,CD14,B_cells,0.00010073475658034861
HCC22-088-P1-S2,CD14,myeloid,0.058495954917038906
HCC22-088-P1-S2,CD14,fibroblast,-0.06262617545390625
HCC22-088-P1-S2,CD14,endothelial,0.0020307039625689915
HCC22-088-P1-S2,CD14,epithelial_tumour,0.009970772481248974
HCC22-088-P2-S1,CD14,T_cells,0.0005932765736043257
HCC22-088-P2-S1,CD14,B_cells,-0.007445147840165613
HCC22-088-P2-S1,CD14,myeloid,0.0824014776250937
HCC22-088-P2-S1,CD14,fibroblast,-0.1277811220631534
HCC22-088-P2-S1,CD14,endothelial,-0.004482594460089681
HCC22-088-P2-S1,CD14,epithelial_tumour,0.0766767183436743
HCC22-088-P2-S2,CD14,T_cells,0.001697593393621583
HCC22-088-P2-S2,CD14,B_cells,-0.008146050560584461
HCC22-088-P2-S2,CD14,myeloid,0.08595343277389739
HCC22-088-P2-S2,CD14,fibroblast,-0.1098512479554935
HCC22-088-P2-S2,CD14,endothelial,0.002255437590534176
HCC22-088-P2-S2,CD14,epithelial_tumour,0.04724576433548962
HCC22-088-P3-S1_A,CD14,T_cells,0.008154611087476126
HCC22-088-P3-S1_A,CD14,B_cells,0.009952314084409712
HCC22-088-P3-S1_A,CD14,myeloid,0.1035390288408966
HCC22-088-P3-S1_A,CD14,fibroblast,-0.13100216265799902
HCC22-088-P3-S1_A,CD14,endothelial,-0.03186002640514157
HCC22-088-P3-S1_A,CD14,epithelial_tumour,0.05080089958709934
HCC22-088-P3-S2,CD14,T_cells,0.004431994058635201
HCC22-088-P3-S2,CD14,B_cells,-0.0032957840652255294
HCC22-088-P3-S2,CD14,myeloid,0.026569466863534452
HCC22-088-P3-S2,CD14,fibroblast,-0.03879387156246861
HCC22-088-P3-S2,CD14,endothelial,-0.01198125008508396
HCC22-088-P3-S2,CD14,epithelial_tumour,0.05874099887483546
HCC22-088-P4-S1,CD14,T_cells,0.004130623974202784
HCC22-088-P4-S1,CD14,B_cells,0.001955261009406184
HCC22-088-P4-S1,CD14,myeloid,0.06263807452391366
HCC22-088-P4-S1,CD14,fibroblast,-0.06979916976605727
HCC22-088-P4-S1,CD14,endothelial,-0.004461166879767751
HCC22-088-P4-S1,CD14,epithelial_tumour,0.011294491855954658
HCC22-088-P4-S2,CD14,T_cells,-0.0007949767366329501
HCC22-088-P4-S2,CD14,B_cells,0.0033671205930655874
HCC22-088-P4-S2,CD14,myeloid,0.0394777929492018
HCC22-088-P4-S2,CD14,fibroblast,-0.035709487422729724
HCC22-088-P4-S2,CD14,endothelial,-0.010055245436290418
HCC22-088-P4-S2,CD14,epithelial_tumour,0.013546256727543032
HCC22-088-P5-S1,CD14,T_cells,0.007228991751108225
HCC22-088-P5-S1,CD14,B_cells,-0.009960504100915708
HCC22-088-P5-S1,CD14,myeloid,0.02507462592894242
HCC22-088-P5-S1,CD14,fibroblast,-0.10438653553209509
HCC22-088-P5-S1,CD14,endothelial,-0.021822302096734802
HCC22-088-P5-S1,CD14,epithelial_tumour,0.1551925790977372
HCC22-088-P5-S2,CD14,T_cells,-9.359835793193959e-05
HCC22-088-P5-S2,CD14,B_cells,0.002459875196944669
HCC22-088-P5-S2,CD14,myeloid,0.09290369571097198
HCC22-088-P5-S2,CD14,fibroblast,-0.1386016077601261
HCC22-088-P5-S2,CD14,endothelial,-0.008013654917562618
HCC22-088-P5-S2,CD14,epithelial_tumour,0.0747016858117497
HCC22-088-P6-S1,CD14,T_cells,-0.0043812433279554475
HCC22-088-P6-S1,CD14,B_cells,-0.005884710240401715
HCC22-088-P6-S1,CD14,myeloid,0.034420127493467886
HCC22-088-P6-S1,CD14,fibroblast,-0.03488221758241683
HCC22-088-P6-S1,CD14,endothelial,0.009465807314410948
HCC22-088-P6-S1,CD14,epithelial_tumour,0.005807690888349655
HCC22-088-P6-S2_D,CD14,T_cells,0.0026319563137825568
HCC22-088-P6-S2_D,CD14,B_cells,0.0069765318847543455
HCC22-088-P6-S2_D,CD14,myeloid,0.07096258465782934
HCC22-088-P6-S2_D,CD14,fibroblast,-0.07344546941429009
HCC22-088-P6-S2_D,CD14,endothelial,-0.015013480810483787
HCC22-088-P6-S2_D,CD14,epithelial_tumour,0.032510618793239306
HCC22-088-P1-S1,EPCAM,T_cells,0.028761634265799613
HCC22-088-P1-S1,EPCAM,B_cells,0.034000323911720344
HCC22-088-P1-S1,EPCAM,myeloid,0.0563227706708643
HCC22-088-P1-S1,EPCAM,fibroblast,-0.1560994654614763
HCC22-088-P1-S1,EPCAM,endothelial,0.0036934440317750034
HCC22-088-P1-S1,EPCAM,epithelial_tumour,0.07749799940862623
HCC22-088-P1-S2,EPCAM,T_cells,0.0019972174795610115
HCC22-088-P1-S2,EPCAM,B_cells,-0.0006353575459111336
HCC22-088-P1-S2,EPCAM,myeloid,-0.012864585480635349
HCC22-088-P1-S2,EPCAM,fibroblast,-0.08606068846564785
HCC22-088-P1-S2,EPCAM,endothelial,-0.0017756374331131947
HCC22-088-P1-S2,EPCAM,epithelial_tumour,0.11471944144849294
HCC22-088-P2-S1,EPCAM,T_cells,0.00362206396423957
HCC22-088-P2-S1,EPCAM,B_cells,0.002622459463911715
HCC22-088-P2-S1,EPCAM,myeloid,0.06456160068489088
HCC22-088-P2-S1,EPCAM,fibroblast,-0.07400955217636718
HCC22-088-P2-S1,EPCAM,endothelial,0.01444383515668933
HCC22-088-P2-S1,EPCAM,epithelial_tumour,-0.011873134384172881
HCC22-088-P2-S2,EPCAM,T_cells,0.0009027547972828807
HCC22-088-P2-S2,EPCAM,B_cells,-0.003494340464619841
HCC22-088-P2-S2,EPCAM,myeloid,0.0765249331861668
HCC22-088-P2-S2,EPCAM,fibroblast,-0.09314686435075936
HCC22-088-P2-S2,EPCAM,endothelial,0.011172406970697046
HCC22-088-P2-S2,EPCAM,epithelial_tumour,0.01255433787798163
HCC22-088-P3-S1_A,EPCAM,T_cells,0.016245717723560624
HCC22-088-P3-S1_A,EPCAM,B_cells,0.0061615842430546505
HCC22-088-P3-S1_A,EPCAM,myeloid,0.06893918146422577
HCC22-088-P3-S1_A,EPCAM,fibroblast,-0.1197136331556643
HCC22-088-P3-S1_A,EPCAM,endothelial,-0.021390182327853863
HCC22-088-P3-S1_A,EPCAM,epithelial_tumour,0.059341996589418244
HCC22-088-P3-S2,EPCAM,T_cells,0.006121736612022616
HCC22-088-P3-S2,EPCAM,B_cells,0.004520454542755348
HCC22-088-P3-S2,EPCAM,myeloid,0.0009573300733824036
HCC22-088-P3-S2,EPCAM,fibroblast,-0.042945545695533216
HCC22-088-P3-S2,EPCAM,endothelial,-0.015387707997980941
HCC22-088-P3-S2,EPCAM,epithelial_tumour,0.06813337670180385
HCC22-088-P4-S1,EPCAM,T_cells,0.006120736166015836
HCC22-088-P4-S1,EPCAM,B_cells,-0.004343489091126633
HCC22-088-P4-S1,EPCAM,myeloid,0.05563584324968081
HCC22-088-P4-S1,EPCAM,fibroblast,-0.031099166767649566
HCC22-088-P4-S1,EPCAM,endothelial,0.010482786983313865
HCC22-088-P4-S1,EPCAM,epithelial_tumour,-0.0233351720786958
HCC22-088-P4-S2,EPCAM,T_cells,0.0038670690074989068
HCC22-088-P4-S2,EPCAM,B_cells,-0.0012580464600987773
HCC22-088-P4-S2,EPCAM,myeloid,-0.005402463623077752
HCC22-088-P4-S2,EPCAM,fibroblast,-0.0431156591597448
HCC22-088-P4-S2,EPCAM,endothelial,-0.0012248304903821339
