,Immune,Mixed,Stroma,Tumour
Immune,29.804702029454564,-4.0184874979342196,-14.553677111734492,-8.168785309553494
Mixed,-4.0184874979342196,41.512042023873875,-29.899836303400555,-15.383568858591794
Stroma,-14.553677111734492,-29.899836303400555,45.56665507165879,-29.373989792813575
Tumour,-8.168785309553494,-15.383568858591794,-29.373989792813575,39.61722607797419
