,Immune,Mixed,Tumour
Immune,21.153206968882664,-20.366324563310584,-2.4977792398991054
Mixed,-20.366324563310584,18.13923776910278,-12.685682751922842
Tumour,-2.4977792398991054,-12.685682751922842,33.96140962086774
