marker,n_samples,disc_edge_rho_median,rho_T_cells_median,rho_T_cells_signfrac,rho_B_cells_median,rho_B_cells_signfrac,rho_myeloid_median,rho_myeloid_signfrac,rho_fibroblast_median,rho_fibroblast_signfrac,rho_endothelial_median,rho_endothelial_signfrac,rho_epithelial_tumour_median,rho_epithelial_tumour_signfrac,rho_score_M2_macrophage_median,rho_score_M2_macrophage_signfrac,rho_score_exhaustion_median,rho_score_exhaustion_signfrac,rho_score_Proliferation_median,rho_score_Proliferation_signfrac,rho_score_Hypoxia_median,rho_score_Hypoxia_signfrac,rho_score_Interferon_response_median,rho_score_Interferon_response_signfrac,rho_score_Fibroblast_activation_median,rho_score_Fibroblast_activation_signfrac,rho_score_Estrogen_response_median,rho_score_Estrogen_response_signfrac
CD68,12,-0.0544491209105616,0.023889366718201348,0.6666666666666666,0.08107800752486054,0.75,0.11989817457567939,0.9166666666666666,-0.17902843273257124,0.0,0.03602910613296455,0.75,0.17839104180517218,1.0,-0.124588452426721,0.0,-0.10002836836851392,0.08333333333333333,-0.04197488702116915,0.4166666666666667,-0.02504388215714666,0.3333333333333333,-0.035882567025472566,0.4166666666666667,-0.022576217334359733,0.4166666666666667,0.13905313556320215,1.0
CD3E,12,-0.1441512277504769,0.07081314484003753,0.6666666666666666,0.08755106468216811,0.75,0.0665565407453105,0.75,-0.17593552636744042,0.08333333333333333,0.07091270838300534,0.6666666666666666,0.31294077713774887,1.0,-0.1670291944447498,0.08333333333333333,-0.18328897107979075,0.08333333333333333,-0.14776858287325306,0.25,-0.045035644840903805,0.16666666666666666,-0.044792267259641444,0.25,0.0641050725685991,0.75,0.22271618088086148,1.0
CD163,12,-0.09839908115004467,0.07320170188650876,0.9166666666666666,0.08108717458638168,1.0,0.10918809886800337,1.0,-0.15598487493300403,0.0,0.07772462809752101,0.8333333333333334,0.2518833461723523,1.0,0.11490712288066283,0.6666666666666666,-0.12202157362039748,0.0,-0.124606019261986,0.16666666666666666,-0.07662420075964518,0.08333333333333333,-0.01785851132378364,0.4166666666666667,0.07285303516445575,0.9166666666666666,0.1858826579255826,0.9166666666666666
CD14,12,-0.16484059366248333,0.08061104035819468,0.6666666666666666,0.07763698560606772,0.9166666666666666,0.21651525773748326,1.0,-0.23551550906105648,0.0,0.07891424915662623,0.75,0.29440309129156766,1.0,-0.14046718940129987,0.08333333333333333,-0.18038109051126539,0.0,-0.1389089268451573,0.16666666666666666,-0.09195288845099739,0.16666666666666666,-0.027907145277372022,0.3333333333333333,0.06140822814524785,0.75,0.1960273603520672,0.9166666666666666
EPCAM,12,-0.0716785026411911,0.06577402524074596,0.9166666666666666,0.0661097134456482,1.0,0.14528785282264506,0.8333333333333334,-0.1253247802081621,0.16666666666666666,0.07214581848802387,0.9166666666666666,0.07092471403065878,0.6666666666666666,-0.05538450284752798,0.3333333333333333,-0.06970617171407437,0.16666666666666666,-0.03805067704807317,0.4166666666666667,-0.011539885172763309,0.3333333333333333,0.0014758993264536863,0.6666666666666666,0.02720164222623841,0.5833333333333334,0.024435676196364522,0.5
ACTA2,12,0.008123353424255955,0.04942391330899408,0.75,0.05045773157779983,0.75,0.11592894271392043,0.9166666666666666,-0.13345652182332773,0.08333333333333333,0.03912382753530631,0.9166666666666666,0.06147459504352269,0.75,-0.029756485893205353,0.3333333333333333,-0.05569532810652546,0.16666666666666666,-0.06286419077856628,0.3333333333333333,-0.00961228547650036,0.5,-0.007190063851450773,0.4166666666666667,0.1666566266596561,0.75,0.03638878342521624,0.5833333333333334
VIM,12,-0.09967768613719058,0.02695873471443564,0.5,0.084669954761808,0.8333333333333334,0.05510541364414073,0.5833333333333334,-0.1260513718055468,0.16666666666666666,0.004301940290919128,0.5,0.25892065865380787,0.9166666666666666,-0.12637985735012822,0.25,-0.1520747034463375,0.16666666666666666,-0.0994511704813574,0.3333333333333333,-0.06792044011349223,0.25,-0.06193850963944369,0.3333333333333333,-0.020112243919280296,0.5,0.20798017285269213,0.8333333333333334
PCNA,12,0.1586438959135394,-0.0191754316209677,0.4166666666666667,-0.030232205676315647,0.3333333333333333,-0.038900946289208246,0.4166666666666667,0.04878085910600451,0.6666666666666666,0.020259203529289355,0.5833333333333334,-0.19903987332744322,0.16666666666666666,0.09154906135584062,0.8333333333333334,0.08891402114346056,0.8333333333333334,0.2819703014628555,1.0,0.04194800099235521,0.8333333333333334,0.05630368331966362,0.75,-0.06562037001464965,0.4166666666666667,-0.16365592463730388,0.16666666666666666
