gene,mean,median,I_Q25,count
KRT7,0.18180114214320325,0.14532834209378737,0.08256862510149413,14
CRACR2B,0.1816810802323239,0.19703447327430357,0.07681397047383653,14
NFKBIZ,0.18148024729974857,0.16782168354763505,0.04526849418817529,14
CD24,0.18046454154537747,0.14330752904522304,0.11735831683097307,14
GPRC5A,0.1796307900678915,0.1652455697991964,0.0736622638176529,14
DSTN,0.1793047117502084,0.16978269830886966,0.09320015787003966,14
COL14A1,0.17886425903849687,0.10994561612805334,0.07874480070356016,14
EPCAM,0.17845389462448663,0.15137134601564384,0.06877519156203953,14
IFI30,0.17839955568515192,0.12961097900064938,0.054262616067113204,14
DHCR24,0.17727099489536155,0.17456202136831803,0.07615738248726023,14
TC2N,0.17726564473860926,0.1566314561383017,0.09520491899004786,14
ERBB3,0.17710773656753778,0.17577779266332708,0.0934692826166196,14
PSAP,0.17635245474236744,0.19525876450870813,0.11896891272199525,14
EFNA1,0.17627939277397872,0.16243001339698004,0.12443221022351234,14
TPD52,0.17606309365732886,0.1558676348727226,0.05820849164288408,14
TAGLN,0.1756084106220545,0.1436394626066953,0.12662208001478872,14
VTCN1,0.1755034377088612,0.10372664283707068,0.06747637598384819,14
CLDN4,0.17545394087660973,0.17315205735597164,0.07292645360813199,14
CHI3L1,0.1753401601909956,0.1310267897135797,0.07518200159628116,14
TMSB4X,0.17450884100277594,0.1575178839371798,0.1007035411390213,14
MMP9,0.17433856125703745,0.08741357317381179,0.0014463174568068232,14
CYP4X1,0.17383710106274872,0.16545009320086318,0.08116279457979415,14
GLUL,0.1730271489830401,0.1830496169902716,0.1333836987840498,14
MMP7,0.1729845627799293,0.15983912368201128,0.03126921943892509,14
PTPRT,0.17280948472262397,0.17338108815583586,0.08091709362635943,14
MT-ND3,0.17277723229763622,0.1162514030463174,0.08370073659633852,14
TTC39A,0.17245943917171336,0.15822722061359018,0.07464342580013855,14
